edf_chan,mea_chan,mea_label,side,region,x,y,z
1,23,Ch23,R,Temporal,-0.341905356,0.733218402,0.587785252
3,22,Ch22,R,Medial,-0.376375182,0.253868266,0.891006524
4,30,Ch30,R,Temporal,-0.679478418,0.7036205,-0.207911691
5,21,Ch21,R,Temporal,0.139384129,0.880036755,0.4539905
6,29,Ch29,R,Temporal,-0.88233531,0.449572295,0.139173101
7,20,Ch20,R,Temporal,0.162015573,0.565015448,0.809016994
8,28,Ch28,R,Medial,-0.949426969,0.150374459,0.275637356
9,19,Ch19,R,Frontal,0.57814108,0.485117967,0.656059029
10,27,Ch27,R,Temporal,-0.544556084,0.838542834,0.017452406
11,18,Ch18,R,Frontal,0.6197596,0.109280339,0.777145961
12,26,Ch26,R,Temporal,-0.66014105,0.66014105,0.35836795
13,17,Ch17,R,Frontal,0.880283169,0.373658036,0.292371705
14,25,Ch25,R,Medial,-0.732571944,0.22396972,0.64278761
15,16,Ch16,R,Frontal,0.922104644,0.096917103,0.374606593
16,24,Ch24,R,Temporal,-0.284878237,0.931794727,0.224951054
17,15,Ch15,L,Frontal,0.922104644,-0.096917103,0.374606593
18,7,Ch07,L,Temporal,-0.269614018,-0.940255822,0.207911691
19,14,Ch14,L,Frontal,0.892787402,-0.342708975,0.292371705
20,6,Ch06,L,Medial,-0.728551559,-0.236720751,0.64278761
21,13,Ch13,L,Frontal,0.6197596,-0.109280339,0.777145961
22,5,Ch05,L,Temporal,-0.63670032,-0.682777501,0.35836795
23,12,Ch12,L,Frontal,0.586519502,-0.474954128,0.656059029
24,4,Ch04,L,Temporal,-0.514959632,-0.85703675,0.017452406
25,11,Ch11,L,Temporal,0.132222912,-0.572720354,0.809016994
26,3,Ch03,L,Medial,-0.949426969,-0.150374459,0.275637356
27,10,Ch10,L,Temporal,0.111333185,-0.906736028,0.406736643
28,2,Ch02,L,Temporal,-0.88233531,-0.449572295,0.139173101
29,9,Ch09,L,Medial,-0.389209565,-0.262525166,0.882947593
30,1,Ch01,L,Temporal,-0.651980832,-0.724098072,-0.224951054
31,8,Ch08,L,Temporal,-0.333179153,-0.748332629,0.573576436
